a	open front unrounded vowel
ă	open front unrounded vowel, extra-short suprasegmental
aː	open front unrounded vowel, long suprasegmental
æ	near-open front unrounded vowel
äInvalid IPA
ɐ	near-open central unrounded vowel
ɐ̞	open central unrounded vowel
ɑ	open back unrounded vowel
b	voiced bilabial plosive consonant
b̞	voiced bilabial plosive consonant, lowered diacritic
bː	voiced bilabial plosive consonant, long suprasegmental
bʲ	voiced bilabial plosive consonant, palatalized diacritic
bʷ	voiced bilabial plosive consonant, labialized diacritic
ɓ	voiced bilabial implosive consonant
ç	voiceless palatal non-sibilant-fricative consonant
c	voiceless palatal plosive consonant
ɕ	voiceless alveolo-palatal sibilant-fricative consonant
ɕː	voiceless alveolo-palatal sibilant-fricative consonant, long suprasegmental
d	voiced alveolar plosive consonant
d̚	voiced alveolar plosive consonant, no-audible-release diacritic
ð	voiced dental non-sibilant-fricative consonant
dː	voiced alveolar plosive consonant, long suprasegmental
dʲ	voiced alveolar plosive consonant, palatalized diacritic
d͡z	voiced alveolar sibilant-affricate consonant
d͡ʑ	voiced alveolo-palatal sibilant-affricate consonant
dʒ	voiced palato-alveolar sibilant-affricate consonant
d͡ʒ	voiced palato-alveolar sibilant-affricate consonant
d͡ʒː	voiced palato-alveolar sibilant-affricate consonant, long suprasegmental
ɗ	voiced alveolar implosive consonant
e	close-mid front unrounded vowel
e̞	mid front unrounded vowel
eː	close-mid front unrounded vowel, long suprasegmental
ə	mid central unrounded vowel
ɛ	open-mid front unrounded vowel
ɤ	close-mid back unrounded vowel
ɤ̆	close-mid back unrounded vowel, extra-short suprasegmental
ɤɐ̞	close-mid back unrounded vowel, open central unrounded vowel
f	voiceless labio-dental non-sibilant-fricative consonant
fː	voiceless labio-dental non-sibilant-fricative consonant, long suprasegmental
fʲ	voiceless labio-dental non-sibilant-fricative consonant, palatalized diacritic
fʷ	voiceless labio-dental non-sibilant-fricative consonant, labialized diacritic
ɡ	voiced velar plosive consonant
ɡ̥	voiced velar plosive consonant, voiceless diacritic
ɡː	voiced velar plosive consonant, long suprasegmental
ɡ̟ʲ	voiced velar plosive consonant, advanced diacritic, palatalized diacritic
ɡʲ	voiced velar plosive consonant, palatalized diacritic
ɡʷ	voiced velar plosive consonant, labialized diacritic
ɣ	voiced velar non-sibilant-fricative consonant
h	voiceless glottal non-sibilant-fricative consonant
hʷ	voiceless glottal non-sibilant-fricative consonant, labialized diacritic
ɦ	voiced glottal non-sibilant-fricative consonant
i̞	close front unrounded vowel, lowered diacritic
i̯	close front unrounded vowel, non-syllabic diacritic
