'hPhones'	'hSon'	'aPhones'	'aSon'	'featDist'	'simScore'	'phoneLev'	'freq'
'∅'	[0]	'a'	[9]	7.25	7.25	1	1
'a a b u i'	[9, 9, 2, 8, 8]	'ə p o ɾ'	[9, 1, 9, 6]	11.5	2.3	5	1
'a b eː'	[9, 2, 9, 9]	'p e'	[1, 9]	7.625	2.542	3	1
'a b eː'	[9, 2, 9, 9]	'ə p ə'	[9, 1, 9]	1.375	0.458	3	1
'a b ɛ a'	[9, 2, 9, 9]	'ə v e'	[9, 4, 9]	8.5625	2.141	4	1
'a b'	[9, 2]	'ə p'	[9, 1]	0.75	0.375	2	1
'a j'	[9, 7]	'∅'	[0]	14.5	7.25	2	1
'a j'	[9, 7]	'ə i'	[9, 8]	1.8125	0.906	2	1
'a l'	[9, 6]	'ɔ m'	[9, 5]	2.4375	1.219	2	1
'a m b e a'	[9, 5, 2, 9, 9]	'n v ə ə'	[5, 4, 9, 9]	9.375	1.875	5	1
'a m ə'	[9, 5, 9]	'ɐ'	[9]	14.625	4.875	3	1
'a m'	[9, 5]	'∅'	[0]	14.5	7.25	2	1
'a m'	[9, 5]	'ɛ'	[9]	7.625	3.812	2	1
'a n ə'	[9, 5, 9]	'ɐ l o'	[9, 6, 9]	1.875	0.625	3	1
'a ŋ ɡ'	[9, 5, 2]	'∅'	[0]	21.75	7.25	3	1
'a t'	[9, 1]	'w ə t͡ʃ'	[7, 9, 1]	8.5	2.833	3	1
'a y i'	[9, 8, 8]	'ɐ d u'	[9, 2, 8]	6.0	2.0	3	1
'a'	[9]	'∅'	[0]	7.25	7.25	1	2
'a'	[9]	'ɐ'	[9]	0.5	0.5	1	6
'a'	[9]	'ɔ'	[9]	0.875	0.875	1	2
'a'	[9]	'ə'	[9]	0.625	0.625	1	19
'a'	[9]	'ɛ'	[9]	0.375	0.375	1	3
'a'	[9]	'o'	[9]	0.75	0.75	1	2
'a'	[9]	'u'	[8]	1.25	1.25	1	2
'aː'	[9, 9]	'ɛ'	[9]	0.625	0.625	1	1
'aː'	[9, 9]	'a ɐ'	[9, 9]	7.5	3.75	2	1
'aː'	[9, 9]	'ə'	[9]	0.875	0.875	1	2
'æː'	[9, 9]	'a'	[9]	0.25	0.25	1	1
'∅'	[0]	'b e'	[2, 9]	14.5	7.25	2	1
'b a j i'	[2, 9, 7, 8]	'p ɛ ɡ ə'	[1, 9, 2, 9]	3.875	0.969	4	1
'b a'	[2, 9]	'p ə'	[1, 9]	0.75	0.375	2	1
'b ə'	[2, 9]	'∅'	[0]	14.5	7.25	2	1
'b ɛ'	[2, 9]	'p i'	[1, 8]	0.5	0.25	2	1
'b ɛː'	[2, 9, 9]	'l v e r i'	[6, 4, 9, 6, 8]	22.6875	4.537	5	1
'b i'	[2, 8]	'd j'	[2, 7]	1.75	0.875	2	1
'b'	[2]	'p'	[1]	0.125	0.125	1	3
'b'	[2]	'ə p i j'	[9, 1, 8, 7]	21.875	5.469	4	1
'k'	[1]	'p'	[1]	1.0	1.0	1	1
'm b ɛː ɛ'	[5, 2, 9, 9, 9]	'b e e'	[2, 9, 9]	7.75	2.583	3	1
'ɔ a'	[9, 9]	'ɡ w ə'	[2, 7, 9]	9.5625	3.188	3	1
'ɔ j'	[9, 7]	'o i'	[9, 8]	1.3125	0.656	2	1
'ɔ'	[9]	'∅'	[0]	7.25	7.25	1	1
'ɔ'	[9]	'a'	[9]	0.875	0.875	1	1
'ɔ'	[9]	'o'	[9]	0.125	0.125	1	1
'ɔː w i'	[9, 9, 7, 8]	'o v'	[9, 4]	10.6875	3.562	3	1
'∅'	[0]	'd'	[2]	7.25	7.25	1	1
